class,attempted_speech,imagined_speech,listening
class_1,6,6,1
class_2,6,6,2
class_3,9,9,1
class_4,9,9,2
class_5,9,9,1
class_6,9,9,2
class_7,9,9,1
class_8,3,3,0
class_9,9,9,1
class_10,9,9,1
class_11,6,6,2
class_12,9,9,2
class_13,9,9,1
class_14,9,9,1
class_15,6,6,2
class_16,9,9,1
class_17,9,9,1
class_18,9,9,2
class_19,9,9,2
class_20,3,3,2
class_21,9,9,2
class_22,6,6,2
class_23,9,9,1
class_24,9,9,2
class_25,9,9,0
class_26,6,6,1
class_27,9,9,1
class_28,9,9,2
class_29,6,6,1
class_30,9,9,3
class_31,9,9,1
class_32,9,9,2
class_33,9,9,1
class_34,9,9,2
class_35,9,9,2
class_36,3,3,2
class_37,6,6,1
class_38,9,9,3
class_39,9,9,1
class_40,9,9,3
class_41,9,9,1
class_42,9,9,3
class_43,9,9,3
class_44,6,6,1
class_45,9,9,2
class_46,6,6,1
class_47,9,9,2
class_48,9,9,1
class_49,9,9,2
class_50,6,6,2
class_51,9,9,0
class_52,9,9,2
class_53,9,9,2
class_54,9,9,2
class_55,9,9,1
class_56,9,9,1
class_57,9,9,0
class_58,6,6,2
class_59,9,9,1
class_60,9,9,1
class_61,9,9,2
class_62,9,9,2
class_63,9,9,2
class_64,9,9,2
class_65,9,9,3
class_66,9,9,2
class_67,9,9,1
class_68,6,6,1
class_69,9,9,3
class_70,6,6,0
class_71,9,9,3
class_72,9,9,1
class_73,9,9,1
class_74,6,6,0
